Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Homework 2 final grade [Total Pts: 40 Score] |2005601,Lab 4 [Total Pts: 20 Score] |1883421,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Predicted Points,Predicted Grade
20,39.0,19.0,4,4,4,17,19.5,4,4,4,17.5,11,0,4,821.4832014105725,B
20,34.5,14.0,4,4,4,15,18.5,4,4,4,2.0,20,2,0,752.9872535896797,C
20,42.0,20.0,4,4,4,20,20.0,4,4,4,38.0,20,4,4,989.1568070561632,A
20,40.875,16.0,4,4,4,19,20.0,4,4,4,20.25,20,4,4,900.785411051747,A
0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,44.81507960215572,F
2,33.5,0.0,0,0,0,12,15.0,0,0,0,0.0,13,0,0,365.8644376837275,F
20,33.5,0.0,4,0,0,12,20.0,4,4,4,0.0,20,4,4,645.2316618766029,D
20,39.5,14.0,4,4,4,19,18.5,4,4,4,30.875,16,4,4,879.2742471100764,B
20,39.0,20.0,4,4,4,17,19.5,4,4,4,29.625,16,4,4,913.5680305299904,A
0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,44.81507960215572,F
20,41.0,18.0,4,4,4,19,18.5,4,4,4,2.5,20,4,4,829.3663484665561,B
20,38.75,14.0,4,4,4,18,19.0,4,4,4,31.75,19,4,4,911.3965460924744,A
20,38.125,20.0,0,4,0,20,15.5,4,4,4,30.75,12,4,4,807.5958357706826,B
20,26.5,14.0,4,0,4,18,19.25,4,4,4,29.0,12,2,4,821.960740761694,B
20,40.5,8.0,4,4,4,18,19.0,4,4,4,33.0,19,4,4,886.9402769937882,B
20,38.5,20.0,4,4,4,18,17.5,0,0,0,35.25,17,0,0,818.4543333206616,B
20,13.0,0.0,0,4,0,14,16.5,4,4,4,20.0,12,4,4,647.1161203154651,D
0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,15,0,0,170.9107856546971,F
20,30.5,20.0,4,4,4,0,0.0,4,0,0,5.25,17,4,4,573.389091239364,F
20,36.875,16.0,4,4,4,17,18.5,4,4,4,30.875,16,4,4,885.2182048841775,B
2,35.5,16.0,0,0,0,17,20.0,3,4,0,21.75,19,0,4,732.088245410521,C
0,15.25,16.0,0,0,0,17,15.0,4,0,0,15.4,12,0,0,504.4372378943965,F
20,32.5,20.0,0,0,0,18,17.5,0,0,0,23.0,14,0,0,694.1426696675117,D
20,37.375,16.0,4,4,4,19,20.0,4,4,4,31.0,20,4,4,937.490635260527,A
0,35.625,14.0,4,4,4,18,18.5,4,4,4,31.0,20,4,4,796.6771801565193,C
20,25.0,14.0,4,4,4,15,14.0,4,4,4,0.0,7,4,2,602.1282350908831,D
20,29.5,0.0,0,4,0,17,19.5,4,2,4,10.25,14,0,0,620.14942328613,D
20,41.0,20.0,4,4,4,19,20.0,4,4,4,35.25,16,4,4,943.4589294201352,A
0,0.0,0.0,0,4,0,0,0.0,0,0,0,0.0,0,0,0,56.60902733963788,F
20,40.0,14.0,4,4,4,15,20.0,0,4,0,34.5,20,2,2,883.2744316632286,B
20,10.5,0.0,0,4,0,15,0.0,4,4,4,10.15,16,0,2,446.40896489826775,F
20,38.25,14.0,4,4,4,19,20.0,4,4,4,27.25,20,4,4,914.1316664054792,A
20,37.0,18.0,0,0,0,16,15.0,0,4,4,0.0,16,0,2,641.6167825779097,D
20,26.0,14.0,0,0,0,0,0.0,0,0,0,26.0,13,4,4,502.69379189076267,F
0,7.0,0.0,0,0,0,11,0.0,0,0,0,0.0,0,0,0,61.5791184546074,F
20,11.0,14.0,4,4,4,19,19.75,4,4,4,33.25,0,4,4,740.5693537162012,C
20,37.0,14.0,0,4,4,16,15.0,3,0,0,39.5,16,4,4,870.1536743367633,B
20,37.5,14.0,0,4,0,12,20.0,0,4,4,10.45,16,4,4,743.358913206799,C
0,21.75,0.0,0,4,0,0,0.0,0,0,0,0.0,0,0,0,76.62555045851926,F
20,30.375,8.0,4,0,0,15,17.0,4,4,4,20.5,17,4,4,705.3444118201818,C
20,40.375,20.0,4,4,4,19,17.5,4,4,4,31.0,20,4,4,934.3148183893226,A
20,40.0,20.0,4,4,4,19,20.0,4,4,4,38.5,20,4,4,988.2348850922372,A
20,5.0,16.0,4,0,0,12,20.0,0,0,0,0.0,19,0,0,588.7261950844573,F
20,39.25,14.0,4,4,4,18,20.0,4,4,4,27.75,17,4,4,890.7515029715802,B
19,39.5,16.0,4,4,4,19,19.5,4,4,4,0.0,17,4,4,788.1998554264386,C
0,0.0,14.0,0,0,0,0,0.0,0,0,0,4.25,0,0,0,132.25511474997762,F
20,36.625,14.0,4,3,4,17,14.0,0,4,0,21.75,16,4,4,756.8658456492338,C
20,28.5,14.0,4,4,0,17,20.0,0,0,0,11.35,16,0,0,633.5380960303183,D
19,40.5,16.0,4,4,4,19,20.0,4,4,4,27.25,20,0,0,876.5651450946629,B
